1557323636269, 0, collect,  
1557323636270, 0, emit,  
1557323636352, 3, 1, stage2, 16
1557323636352, 4, 0, stage3, 15
1557323636352, 2, 1, stage1,  
1557323636352, 2, 0, stage2,  
1557323636352, 5, 2, stage1, 17
1557323636352, 2, collect,  
1557323636352, 3, 2, stage2, 17
1557323636352, 5, 0, stage3, 15
1557323636352, 2, 2, stage1,  
1557323636352, 5, emit, 0
1557323636352, 3, 1, stage1, 0
1557323636352, 3, collect, 15
1557323636352, 3, 2, stage1, 0
1557323636352, 3, 0, stage2, 18
1557323636352, 4, 1, stage1, 19
1557323636352, 2, 0, stage3,  
1557323636352, 5, 0, stage1, 18
1557323636352, 4, 2, stage1, 20
1557323636352, 4, 0, stage2, 18
1557323636352, 4, 1, stage2, 16
1557323636352, 5, 0, stage2, 18
1557323636352, 3, 0, stage3, 18
1557323636352, 3, 1, stage3, 16
1557323636352, 4, 2, stage2, 17
1557323636352, 2, 0, stage1,  
1557323636352, 5, 1, stage2, 16
1557323636353, 5, 2, stage2, 17
1557323636352, 2, 0, stage2,  
1557323636353, 2, 2, stage2,  
1557323636353, 2, 1, stage2,  
1557323636353, 3, 2, stage2, 20
1557323636353, 3, 2, stage3, 17
1557323636353, 5, 1, stage1, 19
1557323636353, 3, 1, stage2, 19
1557323636353, 5, 2, stage1, 20
1557323636353, 4, 2, stage2, 20
1557323636353, 4, 1, stage2, 19
1557323636353, 2, 1, stage1,  
1557323636353, 4, 0, stage3, 18
1557323636353, 2, 2, stage1,  
1557323636353, 4, 1, stage3, 16
1557323636353, 4, 2, stage3, 17
1557323636353, 5, 0, stage3, 18
1557323636353, 2, collect,  
1557323636352, 6, emit,  
1557323636353, 3, collect, 18
1557323636353, 2, 0, stage3,  
1557323636353, 5, 1, stage3, 16
1557323636353, 2, 1, stage3,  
1557323636353, 3, 1, stage3, 19
1557323636353, 5, 1, stage2, 19
1557323636353, 2, 1, stage2,  
1557323636353, 4, 1, stage3, 19
1557323636354, 2, collect,  
1557323636354, 5, 2, stage3, 17
1557323636354, 3, collect, 16
1557323636354, 2, 2, stage3,  
1557323636354, 3, 2, stage3, 20
1557323636354, 5, 2, stage2, 20
1557323636354, 2, 2, stage2,  
1557323636354, 2, collect,  
1557323636354, 5, 1, stage3, 19
1557323636354, 4, 2, stage3, 20
1557323636354, 3, collect, 17
1557323636354, 2, 1, stage3,  
1557323636354, 2, collect,  
1557323636354, 5, 2, stage3, 20
1557323636354, 3, collect, 19
1557323636354, 2, 2, stage3,  
1557323636354, 2, collect,  
1557323636354, 3, collect, 20
1557323636354, 6, 0, stage1,  
1557323636354, 6, 1, stage1,  
1557323636354, 6, 2, stage1,  
1557323636355, 6, 1, stage2,  
1557323636355, 6, 0, stage2,  
1557323636355, 6, 1, stage3,  
1557323636355, 6, 0, stage3,  
1557323636355, 6, 2, stage2,  
1557323636355, 6, 2, stage3,  
1557323636355, 2, collect,  
1557323636356, 7, collect,  
1557323636356, 8, collect,  
1557323636357, 6, collect,  
